App;4;8;16;24;32;48;64;80;96;128;256;512
BARNES;0,437513;0,683733;0,867759;0,899866;0,902582;0,903692;0,903819;0,903795;0,903795;0,903795;0,903795;0,903795
CHOLESKY;0,589673;0,93967;1,288997;1,370451;1,380606;1,381726;1,381673;1,381673;1,381673;1,381673;1,381673;1,381673
FFT;0,511297;0,786894;1,061821;1,18618;1,198867;1,203867;1,202675;1,202675;1,202675;1,202675;1,202675;1,202675
FMM;0,537966;0,832806;1,09873;1,129429;1,137263;1,141776;1,142651;1,142573;1,142573;1,142573;1,142573;1,142573
LU-CONT;0,548479;0,900799;1,163044;1,196966;1,197665;1,197667;1,197667;1,197667;1,197667;1,197667;1,197667;1,197667
LU-NOCONT;0,487485;0,789958;0,933651;0,948514;0,966809;0,966848;0,966848;0,966848;0,966848;0,966848;0,966848;0,966848
OCEAN-CONT;0,346685;0,500013;0,737073;0,841827;0,859021;0,860211;0,860189;0,860189;0,860189;0,860189;0,860189;0,860189
OCEAN-NOCONT;0,393736;0,556633;0,82412;0,977679;0,990891;0,992207;0,992196;0,992196;0,992196;0,992196;0,992196;0,992196
RADIOSITY;0,453684;0,709315;1,013825;1,14428;1,157169;1,15322;1,153279;1,153279;1,153279;1,153279;1,153279;1,153279
RAYTRACE;0,084019;0,089642;0,093852;0,093859;0,09463;0,094616;0,094616;0,094616;0,094616;0,094616;0,094616;0,094616
RADIX;0,368624;0,44603;0,467858;0,471684;0,474405;0,477231;0,477234;0,477234;0,477234;0,477234;0,477234;0,477234
VOLREND;0,507908;0,75826;0,943769;0,976623;0,979488;0,979639;0,980192;0,980345;0,980345;0,980345;0,980345;0,980345
VOLREND-NPL;0,505442;0,751711;0,932397;0,96301;0,964946;0,964539;0,965081;0,965163;0,965163;0,965163;0,965163;0,965163
WATER-SPATIAL;0,487742;0,780745;1,190281;1,285362;1,301934;1,303671;1,303671;1,303671;1,303671;1,303671;1,303671;1,303671
WATER-NSQUARED;0,48549;0,770694;1,135019;1,212232;1,227172;1,231423;1,231402;1,231402;1,231402;1,231402;1,231402;1,231402
